ID MSA,MSA,ID Year,Year,Average Commute Time,Slug MSA
"31000US15020","Brookhaven, MS",2021,"2021",28.155552144885274,"brookhaven-ms-31000US15020"
"31000US15060","Brookings, OR",2021,"2021",16.009608489889573,"brookings-or-31000US15060"
"31000US15100","Brookings, SD",2021,"2021",14.563756411012204,"brookings-sd-31000US15100"
"31000US15140","Brownsville, TN",2021,"2021",25.412486064659976,
"31000US15180","Brownsville-Harlingen, TX",2021,"2021",20.07190917558475,"brownsville-harlingen-tx"
"31000US15220","Brownwood, TX",2021,"2021",17.2197211279935,"brownwood-tx-31000US15220"
"31000US15260","Brunswick, GA",2021,"2021",22.9429108063248,"brunswick-ga-31000US15260"
"31000US15340","Bucyrus, OH",2021,"2021",24.056341937274492,"bucyrus-oh-31000US15340"
"31000US15380","Buffalo-Cheektowaga-Niagara Falls, NY",2021,"2021",21.53089778089778,"buffalo-cheektowaga-niagara-falls-ny"
"31000US15420","Burley, ID",2021,"2021",15.803309862774324,"burley-id-31000US15420"
"31000US15460","Burlington, IA-IL",2021,"2021",18.24074074074074,"burlington-ia-il"
"31000US15500","Burlington, NC",2021,"2021",25.19284066241621,"burlington-nc-31000US15500"
"31000US15540","Burlington-South Burlington, VT",2021,"2021",22.813217502132005,"burlington-south-burlington-vt"
"31000US15580","Butte-Silver Bow, MT",2021,"2021",15.252231404958678,"butte-silver-bow-mt"
"31000US15620","Cadillac, MI",2021,"2021",22.26241505488761,"cadillac-mi-31000US15620"
"31000US15660","Calhoun, GA",2021,"2021",23.92705735660848,"calhoun-ga-31000US15660"
"31000US15680","California-Lexington Park, MD",2021,"2021",30.499495858128547,"california-lexington-park-md"
"31000US15700","Cambridge, MD",2021,"2021",26.819349629303385,"cambridge-md-31000US15700"
"31000US15740","Cambridge, OH",2021,"2021",22.618731842869774,"cambridge-oh-31000US15740"
"31000US15780","Camden, AR",2021,"2021",22.123361907577102,"camden-ar-31000US15780"
"31000US15820","Campbellsville, KY",2021,"2021",23.53399433427762,"campbellsville-ky-31000US15820"
"31000US15860","Cañon City, CO",2021,"2021",25.780017528483786,"canon-city-co-31000US15860"
"31000US15940","Canton-Massillon, OH",2021,"2021",22.0776152850938,"canton-massillon-oh"
"31000US15980","Cape Coral-Fort Myers, FL",2021,"2021",27.822794310149227,"cape-coral-fort-myers-fl"
"31000US16020","Cape Girardeau, MO-IL",2021,"2021",21.69263522365712,"cape-girardeau-mo-il"
"31000US16060","Carbondale-Marion, IL",2021,"2021",22.41942931906952,"carbondale-marion-il"
"31000US16100","Carlsbad-Artesia, NM",2021,"2021",20.88862284699158,"carlsbad-artesia-nm"
"31000US16140","Carroll, IA",2021,"2021",13.983590253605172,"carroll-ia-31000US16140"
"31000US16180","Carson City, NV",2021,"2021",20.784352503757614,"carson-city-nv-31000US16180"
"31000US16220","Casper, WY",2021,"2021",18.0229974298565,"casper-wy-31000US16220"
"31000US16260","Cedar City, UT",2021,"2021",16.465145246674673,"cedar-city-ut-31000US16260"
"31000US16300","Cedar Rapids, IA",2021,"2021",19.971904428360183,"cedar-rapids-ia-31000US16300"
"31000US16340","Cedartown, GA",2021,"2021",30.33671210532448,"cedartown-ga-31000US16340"
"31000US16380","Celina, OH",2021,"2021",19.11954959271682,"celina-oh-31000US16380"
"31000US16420","Central City, KY",2021,"2021",23.551410131730176,"central-city-ky-31000US16420"
"31000US16460","Centralia, IL",2021,"2021",19.324806662700773,"centralia-il-31000US16460"
"31000US16500","Centralia, WA",2021,"2021",27.959687438697443,"centralia-wa-31000US16500"
"31000US16540","Chambersburg-Waynesboro, PA",2021,"2021",24.594555248216626,"chambersburg-waynesboro-pa"
"31000US16580","Champaign-Urbana, IL",2021,"2021",18.033295334339794,"champaign-urbana-il"
"31000US16620","Charleston, WV",2021,"2021",24.197961595885864,"charleston-wv-31000US16620"
"31000US16660","Charleston-Mattoon, IL",2021,"2021",18.44174977334542,"charleston-mattoon-il"
"31000US16700","Charleston-North Charleston, SC",2021,"2021",26.694917873853115,"charleston-north-charleston-sc"
"31000US16740","Charlotte-Concord-Gastonia, NC-SC",2021,"2021",26.968818427262484,"charlotte-concord-gastonia-nc-sc"
"31000US16820","Charlottesville, VA",2021,"2021",23.866754318845576,"charlottesville-va-31000US16820"
"31000US16860","Chattanooga, TN-GA",2021,"2021",23.61051795825411,"chattanooga-tn-ga"
"31000US16940","Cheyenne, WY",2021,"2021",17.014452989975805,"cheyenne-wy-31000US16940"
"31000US16980","Chicago-Naperville-Elgin, IL-IN-WI",2021,"2021",31.333799178822247,"chicago-naperville-elgin-il-in-wi"
"31000US17020","Chico, CA",2021,"2021",21.36822127095996,"chico-ca-31000US17020"
"31000US17060","Chillicothe, OH",2021,"2021",26.761646694493066,"chillicothe-oh-31000US17060"
"31000US17140","Cincinnati, OH-KY-IN",2021,"2021",25.077747792863903,"cincinnati-oh-ky-in"
"31000US17220","Clarksburg, WV",2021,"2021",24.221745746299625,"clarksburg-wv-31000US17220"
"31000US17260","Clarksdale, MS",2021,"2021",20.267203513909223,"clarksdale-ms-31000US17260"
"31000US17300","Clarksville, TN-KY",2021,"2021",25.101424255502806,"clarksville-tn-ky"
"31000US17340","Clearlake, CA",2021,"2021",30.266663494933155,"clearlake-ca-31000US17340"
"31000US17380","Cleveland, MS",2021,"2021",19.02988779664383,"cleveland-ms-31000US17380"
"31000US17420","Cleveland, TN",2021,"2021",23.153037252489092,"cleveland-tn-31000US17420"
"31000US17460","Cleveland-Elyria, OH",2021,"2021",24.596461847331998,"cleveland-elyria-oh"
"31000US17500","Clewiston, FL",2021,"2021",30.43444409841171,"clewiston-fl-31000US17500"
"31000US17540","Clinton, IA",2021,"2021",20.41758849557522,"clinton-ia-31000US17540"
"31000US17580","Clovis, NM",2021,"2021",16.415494270008384,"clovis-nm-31000US17580"
"31000US17620","Coamo, PR",2021,"2021",26.059535822401614,"coamo-pr-31000US17620"
"31000US17640","Coco, PR",2021,"2021",26.46765479983377,"coco-pr-31000US17640"
"31000US17660","Coeur d'Alene, ID",2021,"2021",22.058903365906623,"coeur-dalene-id-31000US17660"
"31000US17700","Coffeyville, KS",2021,"2021",17.919101123595507,"coffeyville-ks-31000US17700"
"31000US17740","Coldwater, MI",2021,"2021",21.397843516726567,"coldwater-mi-31000US17740"
"31000US17780","College Station-Bryan, TX",2021,"2021",18.587859677476022,"college-station-bryan-tx"
"31000US17820","Colorado Springs, CO",2021,"2021",24.19658311722228,"colorado-springs-co-31000US17820"
"31000US17860","Columbia, MO",2021,"2021",19.727349541810426,"columbia-mo-31000US17860"
"31000US17900","Columbia, SC",2021,"2021",24.788999532251655,"columbia-sc-31000US17900"
"31000US17980","Columbus, GA-AL",2021,"2021",22.243542973880054,"columbus-ga-al"
